distance_km,pickup_lat,pickup_lng,drop_lat,drop_lng,Hour,Day,Month,DayOfWeek,ActualFare,PredictedFare
9.44,39.20461626939273,-104.63364481125788,39.210348288412185,-104.5842950356982,21,16,1,0,23.29,20.564649999999986
12.6,40.82522961234001,-90.446954182536,40.832241716234506,-90.46555705496397,3,10,1,1,32.63,26.88020000000004
5.92,37.79061287465498,-98.6577380015014,37.80762357701557,-98.69790978130438,9,15,1,6,15.73,14.540300000000004
0.18,38.73528653274472,-115.81933724200012,38.74236395131024,-115.84237374289565,6,1,1,6,4.85,3.3858500000000014
7.29,38.14341581931988,-120.29112593372012,38.18276330556264,-120.30876109134717,10,18,1,2,16.05,16.31974999999999
10.59,39.78313664710446,-74.91690781879952,39.75880499573468,-74.94627422734035,9,23,1,0,20.23,22.84454999999998
10.24,39.205785381176106,-88.65999018175314,39.168187638332654,-88.61887622657075,11,28,1,5,26.23,22.43734999999999
10.43,37.02914375042498,-90.29529814834405,37.04802711690004,-90.2460180354542,10,12,1,3,17.91,22.7289
1.73,38.28976603141663,-73.77776717425387,38.2813142594096,-73.78523607748268,15,24,1,1,8.19,6.90875
12.48,37.846877995056126,-107.48991251433468,37.85508294178409,-107.47798506955182,5,26,1,3,25.17,28.204500000000024
1.93,39.05493909004265,-101.31631996520116,39.02402610026062,-101.2967461405099,20,7,1,5,6.25,6.80315
6.55,39.97005038158001,-109.08437087001082,39.9629256707545,-109.08545012076726,13,25,1,2,13.77,15.474150000000009
5.46,40.93676341296469,-96.35946705832426,40.95652175359201,-96.35200317151627,10,5,1,3,12.55,13.587400000000018
9.6,38.94237874724094,-118.4446732863346,38.9826552159542,-118.43732510630096,3,17,1,1,17.3,20.40474999999999
5.43,38.18543573499084,-103.25648644597476,38.17063859702788,-103.2404190006524,3,31,1,1,11.17,13.928950000000007
10.33,38.50984070546458,-100.08483285811924,38.55745296030687,-100.0861847144911,23,13,1,4,25.38,20.9226
4.41,38.54471418891992,-80.47728514309678,38.55659470155467,-80.47112912834365,2,22,1,6,12.9,11.406649999999999
5.38,40.328315070215815,-116.5996587970996,40.31414098499092,-116.5566177527634,23,2,2,3,15.04,11.90435
7.72,40.686480472303046,-83.385084815466,40.71526864073592,-83.41771485278845,19,29,1,6,13.84,17.051049999999996
5.8,40.56225425316301,-111.93038578714096,40.54226542621636,-111.92686231857763,13,4,2,5,13.52,13.841000000000003
7.4,37.19080302087893,-89.18952384994401,37.18864217731819,-89.2328692897597,13,1,2,2,19.59,16.935700000000026
7.68,38.794511199830445,-97.5276403767945,38.81792496503482,-97.54519212167976,9,8,1,6,14.84,17.964949999999998
3.8,39.51158269455494,-117.47536500523842,39.48978932243276,-117.51798648618528,9,31,1,1,12.13,9.445250000000005
6.38,40.37848106434322,-115.03668777945634,40.38552130470498,-115.07338131499212,10,7,1,5,12.91,14.481599999999997
9.16,39.19102589614534,-84.32819212053391,39.21069456914096,-84.3238608405659,3,19,1,3,19.34,19.39865
10.43,37.33559783108837,-80.6095019115227,37.36041721777481,-80.65881943166802,15,2,1,0,18.34,22.406299999999987
7.65,37.5726479081426,-115.26847603722436,37.54905094391999,-115.26999878532617,6,24,1,1,22.11,16.805550000000014
